id_paciente,edad,genero,sucursal,tiempo_espera,trato_doctor,limpieza,precio,csat,nps
1,58,Femenino,Norte,30,4,5,5,4,9
2,35,Femenino,Centro,22,5,5,3,5,9
3,65,Femenino,Oeste,19,4,4,1,3,5
4,55,Masculino,Norte,18,3,4,2,3,5
5,23,Femenino,Centro,42,4,4,2,3,7
6,56,Femenino,Oeste,26,3,4,2,3,5
7,63,Masculino,Centro,17,5,4,2,5,10
8,55,Masculino,Norte,10,4,2,2,4,7
9,62,Masculino,Sur,33,4,4,3,3,6
10,27,Femenino,Sur,16,4,5,3,4,7
11,23,Masculino,Norte,28,4,3,4,4,8
12,40,Masculino,Norte,36,3,4,3,4,9
13,47,Femenino,Este,19,4,3,2,4,7
14,53,Masculino,Oeste,41,4,5,3,4,8
15,54,Femenino,Norte,29,5,4,5,3,5
16,60,Femenino,Sur,34,4,4,3,3,5
17,32,Femenino,Este,22,4,5,2,4,8
18,47,Masculino,Centro,18,5,4,2,5,10
19,40,Femenino,Sur,26,5,3,3,4,9
20,61,Femenino,Oeste,7,4,4,3,4,9
21,28,Femenino,Centro,8,4,4,2,4,8
22,42,Masculino,Oeste,29,5,4,3,4,7
23,61,Masculino,Norte,5,4,4,5,5,9
24,70,Femenino,Sur,28,4,3,4,4,8
25,35,Femenino,Centro,34,3,5,2,4,9
26,63,Masculino,Centro,51,3,4,3,3,7
27,49,Masculino,Este,6,4,3,3,4,7
28,34,Femenino,Centro,43,3,4,4,3,7
29,53,Masculino,Oeste,27,5,3,3,4,8
30,55,Masculino,Sur,34,3,3,4,3,5
31,26,Masculino,Norte,28,4,3,3,4,7
32,25,Femenino,Centro,16,5,4,2,5,10
33,56,Femenino,Este,13,5,5,2,5,10
34,56,Masculino,Oeste,29,5,5,3,4,8
35,53,Femenino,Norte,14,3,4,3,4,9
36,52,Masculino,Sur,34,4,5,3,5,9
37,36,Masculino,Centro,32,3,3,3,3,6
38,18,Masculino,Oeste,33,4,4,2,3,5
39,50,Femenino,Sur,19,5,4,2,4,9
40,50,Femenino,Centro,29,3,4,3,3,6
41,66,Femenino,Oeste,29,5,5,4,4,9
42,18,Masculino,Este,13,5,4,4,5,9
43,25,Masculino,Sur,31,5,5,4,5,9
44,21,Femenino,Oeste,34,3,4,3,3,5
45,23,Masculino,Norte,52,2,5,1,2,3
46,26,Masculino,Oeste,38,4,3,2,4,7
47,34,Masculino,Centro,16,4,4,2,5,9
48,63,Masculino,Este,32,2,4,2,3,7
49,59,Masculino,Este,15,4,4,4,4,9
50,46,Femenino,Centro,20,4,3,5,4,7
51,22,Masculino,Norte,9,5,5,4,4,9
52,53,Femenino,Oeste,19,5,3,3,5,9
53,18,Femenino,Norte,13,4,1,2,3,5
54,22,Femenino,Sur,10,5,3,3,4,7
55,50,Femenino,Sur,42,3,5,3,3,7
56,49,Femenino,Oeste,30,4,4,3,4,7
57,64,Masculino,Centro,26,5,5,2,5,10
58,69,Masculino,Centro,5,4,4,3,4,7
59,24,Masculino,Sur,22,4,4,4,4,8
60,44,Masculino,Norte,16,5,4,4,5,9
61,21,Masculino,Sur,15,3,5,4,4,7
62,33,Femenino,Centro,26,5,4,4,4,9
63,46,Femenino,Este,22,5,5,4,5,9
64,35,Masculino,Centro,25,5,4,3,4,7
65,46,Femenino,Norte,26,5,3,5,4,9
66,52,Femenino,Norte,10,5,5,4,5,9
67,28,Masculino,Este,24,3,4,2,4,8
68,31,Masculino,Norte,23,3,4,3,3,5
69,42,Femenino,Este,15,4,4,2,4,8
70,68,Masculino,Sur,27,3,3,2,3,6
71,62,Masculino,Centro,28,5,5,3,5,9
72,36,Femenino,Norte,12,4,4,3,4,9
73,65,Femenino,Sur,31,5,4,3,5,9
