company_id,company_name,phone,email,country,website,merchant_category,merchant_price_position
b-2222,Ac Fermentum Incorporated,+64 601 244 6320,donec.porttitor.tellus@yahoo.net,Germany,https://www.ac-fermentum-incorporated.com,Beauty,mid-market
b-2226,Magna A Neque Industries,+33 823 560 3779,risus.donec.nibh@icloud.org,Australia,https://www.magna-a-neque-industries.com,Travel,budget
b-2230,Fusce Corp.,+29 657 646 4324,risus@protonmail.edu,United States,https://www.fusce-corp.com,Home,mid-market
b-2234,Convallis In Incorporated,+6 693 982 1255,mauris.ut@aol.couk,Germany,https://www.convallis-in-incorporated.com,Sports,mid-market
b-2238,Ante Iaculis Nec Foundation,+69 914 549 1009,sed.dictum.proin@outlook.ca,New Zealand,https://www.ante-iaculis-nec-foundation.com,Toys,mid-market
b-2242,Donec Ltd,+56 897 341 8418,at.iaculis@hotmail.couk,Norway,https://www.donec-ltd.com,Home,mid-market
b-2246,Sed Nunc Ltd,+5 218 900 3193,nibh@yahoo.org,United Kingdom,https://www.sed-nunc-ltd.com,Home,mid-market
b-2250,Amet Nulla Donec Corporation,+96 338 276 8449,mattis.integer.eu@protonmail.net,Italy,https://www.amet-nulla-donec-corporation.com,Gaming,budget
b-2254,Nascetur Ridiculus Mus Inc.,+63 316 953 7970,suspendisse.dui@icloud.net,United States,https://www.nascetur-ridiculus-mus-inc.com,Food,budget
b-2258,Vestibulum Lorem PC,+27 788 560 5000,aenean.massa.integer@aol.net,Belgium,https://www.vestibulum-lorem-pc.com,Electronics,premium
b-2262,Gravida Sagittis LLP,+98 204 198 9702,turpis.vitae@google.ca,Sweden,https://www.gravida-sagittis-llp.com,Sports,premium
b-2266,Mus Aenean Eget Foundation,+1 504 922 3000,mi.duis@hotmail.net,Sweden,https://www.mus-aenean-eget-foundation.com,Sports,mid-market
b-2270,Dis Parturient Institute,+69 962 744 6989,purus@protonmail.org,Ireland,https://www.dis-parturient-institute.com,Food,premium
b-2274,Sed LLC,+3 536 122 8140,at@outlook.com,Belgium,https://www.sed-llc.com,Fashion,mid-market
b-2278,Arcu LLP,+53 776 813 5178,dui@aol.ca,Norway,https://www.arcu-llp.com,Home,mid-market
b-2282,Pretium Neque Corp.,+17 184 177 7600,eleifend.nec.malesuada@protonmail.couk,Australia,https://www.pretium-neque-corp.com,Electronics,mid-market
b-2286,Fringilla LLC,+1 150 784 1716,gravida@protonmail.couk,New Zealand,https://www.fringilla-llc.com,Sports,budget
b-2290,Quisque Libero LLC,+4 545 548 5976,sapien.molestie.orci@hotmail.couk,China,https://www.quisque-libero-llc.com,Toys,budget
b-2294,Auctor Mauris Vel LLP,+32 133 447 8239,nec.tempus@icloud.couk,United States,https://www.auctor-mauris-vel-llp.com,Electronics,mid-market
b-2298,Elit Etiam Laoreet Associates,+39 253 349 9865,ultrices@google.couk,Canada,https://www.elit-etiam-laoreet-associates.com,Gaming,mid-market
b-2302,Nunc Interdum Incorporated,+54 217 870 5363,non@outlook.com,Germany,https://www.nunc-interdum-incorporated.com,Sports,budget
b-2306,Augue Foundation,+65 153 335 9580,mauris@yahoo.com,Germany,https://www.augue-foundation.com,Fashion,premium
b-2310,Non Magna LLC,+94 833 862 7544,nisl.quisque.fringilla@hotmail.ca,United Kingdom,https://www.non-magna-llc.com,Electronics,mid-market
b-2314,A Institute,+47 306 328 7996,metus.aliquam@google.edu,Belgium,https://www.a-institute.com,Home,budget
b-2318,Quam A Felis Industries,+14 677 174 5530,proin.velit@icloud.edu,Italy,https://www.quam-a-felis-industries.com,Gaming,premium
b-2322,Integer Mollis Corp.,+38 803 863 7881,eu.eros@protonmail.ca,Italy,https://www.integer-mollis-corp.com,Toys,premium
b-2326,Enim Condimentum Ltd,+38 405 197 9017,imperdiet.non.vestibulum@yahoo.net,United Kingdom,https://www.enim-condimentum-ltd.com,Beauty,premium
b-2330,Donec Fringilla PC,+30 434 958 2331,ut.tincidunt@hotmail.ca,France,https://www.donec-fringilla-pc.com,Toys,budget
b-2334,Amet Institute,+38 580 434 6115,nullam.lobortis.quam@outlook.net,Australia,https://www.amet-institute.com,Sports,mid-market
b-2338,Magna Incorporated,+30 858 205 8730,non@google.net,New Zealand,https://www.magna-incorporated.com,Food,mid-market
b-2342,Fringilla Porttitor Incorporated,+81 232 896 8043,ultrices.a.auctor@protonmail.couk,Sweden,https://www.fringilla-porttitor-incorporated.com,Electronics,mid-market
b-2346,Ut Semper Foundation,+10 283 500 6449,consectetuer@google.ca,Sweden,https://www.ut-semper-foundation.com,Books,premium
b-2350,Aliquet Vel Vulputate Incorporated,+17 607 951 5164,suspendisse.commodo@outlook.couk,Netherlands,https://www.aliquet-vel-vulputate-incorporated.com,Home,mid-market
b-2354,Ac Libero Inc.,+34 873 152 6569,mollis.lectus@protonmail.ca,United Kingdom,https://www.ac-libero-inc.com,Electronics,premium
b-2358,Ac Industries,+77 225 846 2906,ipsum@yahoo.com,Germany,https://www.ac-industries.com,Fashion,premium
b-2362,Lorem Eu Incorporated,+23 282 947 7238,enim.gravida.sit@hotmail.net,Canada,https://www.lorem-eu-incorporated.com,Electronics,premium
b-2366,Mauris Institute,+75 473 619 9472,morbi.vehicula@outlook.couk,Sweden,https://www.mauris-institute.com,Electronics,mid-market
b-2370,Non Justo Corp.,+67 963 294 1666,urna.ut.tincidunt@yahoo.edu,Sweden,https://www.non-justo-corp.com,Fashion,budget
b-2374,Amet Faucibus Ut Foundation,+93 771 160 7777,malesuada@icloud.net,United Kingdom,https://www.amet-faucibus-ut-foundation.com,Gaming,mid-market
