id,product_name,price,colour,weight,warehouse_id,category,brand,cost,launch_date
1,Direwolf Stannis,$161.11,#7c7c7c,1.0,WH-4,Sports,Runway Pro,$63.84,2014-11-01
2,Tarly Stark,$9.24,#919191,2.0,WH-3,Gaming,Questbyte,$4.74,2013-02-07
3,duel tourney Lannister,$171.13,#d8d8d8,1.5,WH-2,Food,Daily Pantry,$107.07,2013-08-18
4,warden south duel,$71.89,#111111,3.0,WH-1,Books,NorthPress,$39.17,2013-12-31
5,skywalker ewok,$171.22,#dbdbdb,3.2,WH-0,Home,NordHaus,$83.69,2014-07-17
6,dooku solo,$136.60,#c4c4c4,0.8,WH-1,Home,NordHaus,$66.78,2014-03-14
7,north of Casterly,$63.33,#b7b7b7,0.6,WH-2,Electronics,Nexa,$37.41,2013-10-10
8,Winterfell,$32.37,#383838,1.4,WH-3,Travel,Voyago,$15.20,2013-01-27
9,Winterfell,$76.40,#b5b5b5,1.2,WH-4,Books,Campus Read,$40.42,2013-08-14
10,Karstark Dorne,$119.52,#f4f4f4,2.4,WH-5,Food,FreshBox,$89.07,2013-10-04
11,Karstark Dorne,$49.70,#141414,2.7,WH-6,Electronics,Nexa,$34.45,2014-09-01
12,duel Direwolf,$181.60,#a8a8a8,2.1,WH-7,Gaming,Questbyte,$99.46,2013-10-11
13,palpatine chewbacca,$139.59,#2b2b2b,1.0,WH-8,Travel,CityHop,$82.76,2014-04-26
14,Direwolf,$147.53,#c4c4c4,2.0,WH-9,Home,NordHaus,$71.07,2014-03-29
15,Stannis warden,$194.29,#dbdbdb,1.5,WH-10,Home,CasaNova,$107.93,2014-10-21
16,the duel warden,$180.91,#666666,3.0,WH-11,Home,NordHaus,$101.11,2014-05-31
17,skywalker ewok sith,$91.89,#7c7c7c,3.2,WH-12,Fashion,Arden,$38.01,2014-07-01
18,Karstark warden,$148.91,#c4c4c4,0.8,WH-13,Beauty,CareLab,$47.62,2013-07-11
19,dooku solo,$60.33,#3f3f3f,0.6,WH-14,Sports,Trail&Co,$27.81,2013-02-18
20,warden Karstark,$91.96,#b5b5b5,1.4,WH-15,Fashion,Blue Loom,$40.04,2014-05-27
21,duel Direwolf,$96.90,#e2e2e2,1.2,WH-16,Books,PageWorks,$62.72,2013-01-17
22,chewbacca mustafar,$150.02,#fcfcfc,2.4,WH-17,Home,NordHaus,$89.46,2013-06-21
23,riverlands north,$169.96,#545454,2.7,WH-18,Fashion,Arden,$55.00,2013-08-08
24,south duel tourney,$48.99,#aaaaaa,2.1,WH-19,Sports,MotionLab,$24.26,2013-06-07
25,skywalker ewok,$157.53,#2b2b2b,1.0,WH-20,Beauty,Luma Skin,$53.56,2014-04-22
26,Stark Karstark,$53.01,#898989,2.0,WH-21,Food,GreenFork,$30.49,2013-02-15
27,Stannis riverlands,$172.93,#7a7a7a,1.5,WH-22,Home,NordHaus,$83.83,2014-01-08
28,chewbacca mustafar,$127.44,#efefef,3.0,WH-23,Beauty,Luma Skin,$45.65,2014-06-02
29,Tully maester Tarly,$167.20,#111111,3.2,WH-24,Books,PageWorks,$92.89,2013-04-09
30,Karstark warden,$79.53,#606060,0.8,WH-25,Electronics,Nexa,$50.18,2013-02-06
31,Lannister,$85.02,#3f3f3f,0.6,WH-26,Books,Campus Read,$57.38,2013-10-07
32,north,$178.28,#0f0f0f,1.4,WH-27,Home,CasaNova,$98.47,2013-12-15
33,duel warden,$127.09,#191919,1.2,WH-28,Electronics,Auralab,$82.56,2014-05-12
34,of north,$128.48,#919191,2.4,WH-29,Gaming,LevelUp,$65.55,2013-10-29
35,the giantsblood maester,$107.17,#8c8c8c,2.7,WH-30,Gaming,LevelUp,$54.33,2013-06-30
36,Lannister,$96.22,#a5a5a5,2.1,WH-31,Food,FreshBox,$53.67,2014-08-30
37,Direwolf Littlefinger,$26.66,#aaaaaa,1.0,WH-32,Fashion,Arden,$12.58,2013-04-09
38,ewok sith,$55.43,#666666,2.0,WH-33,Electronics,Nexa,$36.05,2014-12-01
39,warden,$196.65,#a0a0a0,1.5,WH-34,Toys,FunHouse,$69.07,2013-04-26
40,tatooine dooku solo,$73.31,#070707,3.0,WH-35,Sports,Runway Pro,$42.78,2013-07-10
41,Lannister Barratheon Direwolf,$141.01,#fcfcfc,3.2,WH-36,Electronics,Auralab,$86.52,2013-09-10
