CODI_ESTACIO,NOM_ESTACIO,EMPLACAMENT,CODI_BARRI,NOM_BARRI,CODI_DISTRICTE,NOM_DISTRICTE,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,ALTITUD,LATITUD,LONGITUD,CODI_XARXA,NOM_XARXA,CODI_ESTAT,DATA_ALTA,DATA_BAIXA,ACRÒNIM
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,DVM10
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,DVVX10
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,HRM
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,HRN
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,HRX
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,PM
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,PN
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,PPT
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,PX
D5,Barcelona - Observatori Fabra,Observatori Fabra,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,80193,Barcelona,13,Barcelonès,8,Barcelona,411,41.41864,2.12379,1,XEMA,2,1995-11-03,,RS24h
