"","year","month","day","dep_delay","arr_delay","carrier","origin","dest","air_time","distance","hour"
"1",2014,1,1,14,13,"AA","JFK","LAX",359,2475,9
"2",2014,1,1,-3,13,"AA","JFK","LAX",363,2475,11
"3",2014,1,1,2,9,"AA","JFK","LAX",351,2475,19
"4",2014,1,1,-8,-26,"AA","LGA","PBI",157,1035,7
"5",2014,1,1,2,1,"AA","JFK","LAX",350,2475,13
"6",2014,1,1,4,0,"AA","EWR","LAX",339,2454,18
"7",2014,1,1,-2,-18,"AA","JFK","LAX",338,2475,21
"8",2014,1,1,-3,-14,"AA","JFK","LAX",356,2475,15
"9",2014,1,1,-1,-17,"AA","JFK","MIA",161,1089,15
"10",2014,1,1,-2,-14,"AA","JFK","SEA",349,2422,18
"11",2014,1,1,-5,-17,"AA","EWR","MIA",161,1085,16
"12",2014,1,1,7,-5,"AA","JFK","SFO",365,2586,17
"13",2014,1,1,3,1,"AA","JFK","BOS",39,187,12
"14",2014,1,1,142,133,"AA","JFK","LAX",345,2475,19
"15",2014,1,1,-5,-26,"AA","JFK","BOS",35,187,17
"16",2014,1,1,18,69,"AA","JFK","ORD",155,740,17
"17",2014,1,1,25,36,"AA","JFK","IAH",234,1417,16
"18",2014,1,1,-1,1,"AA","JFK","AUS",232,1521,17
"19",2014,1,1,191,185,"AA","EWR","DFW",214,1372,16
"20",2014,1,1,-7,-6,"AA","LGA","ORD",142,733,5
"21",2014,1,1,-7,0,"AA","LGA","ORD",143,733,6
"22",2014,1,1,-8,-17,"AA","LGA","ORD",139,733,6
"23",2014,1,1,-2,15,"AA","LGA","ORD",145,733,7
"24",2014,1,1,-3,1,"AA","LGA","ORD",139,733,8
"25",2014,1,1,44,42,"AA","LGA","ORD",141,733,10
"26",2014,1,1,-1,-2,"AA","EWR","DFW",214,1372,14
"27",2014,1,1,3,12,"AA","LGA","ORD",137,733,10
"28",2014,1,1,-5,24,"AA","LGA","ORD",145,733,11
"29",2014,1,1,26,46,"AA","LGA","ORD",132,733,13
"30",2014,1,1,52,91,"AA","LGA","ORD",136,733,16
"31",2014,1,1,55,84,"AA","LGA","ORD",133,733,17
